gene	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
DHRS3	1984	3977	3976	4940	1561	3232	2431	5800
MATN1	6	3	9	1	5	3	5	3
LAPTM5	4	3	3	5	2	8	0	3
SDC3	4675	2520	3857	1597	3615	3417	3487	2642
PEF1	823	676	966	477	996	1219	692	719
SYNC	644	475	934	268	878	903	723	610
RBBP4	1581	1208	1598	867	1746	1658	1257	1219
KIAA1522	863	726	948	533	826	705	903	819
TSSK3	13	2	9	2	15	9	7	5
TMCO4	339	273	383	205	417	462	298	324
UBXN10	2	2	21	6	0	2	14	5
CAMK2N1	4730	6426	6081	6716	3324	7316	5170	8988
ALPL	559	661	1435	739	1986	3412	458	619
WNT4	2	1	3	1	1	1	1	0
TTLL10	0	0	0	0	0	0	0	0
SCNN1D	153	118	144	66	145	160	99	94
MXRA8	11126	10684	12397	7349	10440	13079	9518	10715
C1orf86	637	625	652	330	488	696	493	452
MEGF6	409	256	972	499	376	649	1048	1264
CCDC27	2	0	4	0	1	0	2	0
IL23R	0	0	0	0	0	0	0	0
DIRAS3	69	35	47	12	234	130	30	7
C1orf87	2	5	3	6	4	11	0	8
NFIA	542	598	652	403	435	545	509	713
OMA1	175	159	221	131	301	257	191	208
MYSM1	1014	870	1161	676	1192	1485	1045	1062
TM2D1	627	807	909	863	701	1122	660	1179
USP1	615	492	591	386	683	646	518	514
FUBP1	1496	1257	1435	859	2082	2675	1271	1194
NEXN	1820	7562	2765	6569	2226	10300	2278	8552
DNAJB4	711	1761	969	1687	946	3115	656	1889
ELTD1	176	110	168	76	436	362	180	107
LRRIQ3	6	7	1	2	19	23	5	10
LRRC53	0	0	0	0	0	0	0	0
TYW3	404	370	601	363	644	756	392	439
LHX8	0	1	0	0	0	0	0	0
SNX7	761	570	893	485	809	864	718	672
B3GALT2	5	17	26	71	9	131	6	77
NTNG1	15	7	13	2	10	6	71	25
FAM102B	908	504	818	347	776	877	927	643
HENMT1	47	32	42	25	40	49	36	22
AKNAD1	8	17	10	5	8	16	7	15
C1orf52	261	246	352	222	383	417	267	269
WDR63	149	54	129	19	162	61	132	42
GBP2	1212	1153	1892	860	1815	1474	1186	1020
ATXN7L2	83	126	125	89	92	155	84	125
GBP4	51	20	89	25	98	63	42	40
ZNF326	1142	708	1239	485	1250	1115	941	686
HFM1	5	5	8	0	4	2	0	5
BRINP3	0	0	0	0	0	0	1	0
GFI1	3	4	2	1	3	2	0	1
LSP1P3	0	0	0	0	0	0	0	0
KCNT2	91	100	125	133	107	315	114	229
AGL	882	750	908	821	781	1248	783	1163
VCAM1	914	62	1192	55	1359	171	646	31
EXTL2	1088	719	1234	544	1181	1106	956	680
SLC30A7	691	775	930	742	992	1295	693	847
DNAJA1P5	0	0	0	0	0	0	0	0
ZNF281	637	470	808	362	817	1242	691	569
ARPC5	1933	2765	2008	2428	1955	4919	1837	3003
CADM3	5	0	0	0	2	2	0	0
NLRP3	4	0	2	2	3	0	4	4
ZNF496	873	552	833	438	933	878	762	730
TRIM58	69	53	28	19	70	62	27	20
SLAMF9	0	0	2	0	0	1	0	2
OR2M5	0	0	0	0	0	0	0	0
KCNJ9	0	0	3	0	0	1	3	0
IGSF8	316	306	535	326	246	388	345	493
DDR2	17647	14142	21872	13984	21938	24985	17752	24735
PEA15	7790	6747	14934	7239	9583	12693	8612	7787
PEX19	999	1052	1258	883	1218	1451	862	1036
NCSTN	3874	3329	5800	3587	5015	5938	4053	4691
VANGL2	18	5	5	1	4	0	6	6
SLAMF6	0	0	0	0	0	0	0	0
OLFML2B	170	68	317	87	152	48	259	239
FCRLB	18	11	15	3	7	9	10	10
FCGR3B	0	0	0	0	0	0	0	0
SLC9C2	0	2	0	0	0	1	0	0
KLHDC9	10	12	22	5	3	4	18	31
C1orf74	31	17	38	18	42	49	31	12
LMX1A	0	0	0	0	0	0	0	0
LRRC52	0	0	0	0	0	0	0	0
FLVCR1	50	61	78	39	73	101	57	70
FAM71A	0	0	0	0	0	0	0	0
ATF3	112	280	256	626	164	663	128	626
RBM15	166	171	181	120	200	250	133	173
DENND2D	264	157	307	104	101	74	202	147
AXDND1	1	2	0	1	2	1	10	20
TDRD5	0	0	0	0	0	0	0	2
IER5	885	823	758	403	839	1136	678	656
SNED1	2609	1684	3481	2034	2328	2378	2587	3002
BPNT1	400	361	433	276	411	417	358	339
SPATA17	15	13	11	7	15	15	18	6
C1orf115	60	200	108	73	1711	4112	74	202
BROX	944	688	1161	826	1177	1310	847	968
NBPF8	430	320	424	177	539	573	391	403
MT2P1	6	6	0	4	3	16	0	7
WDR64	0	1	2	3	2	0	1	1
KIF26B	586	253	527	131	565	1178	365	97
TFB2M	157	162	185	147	189	283	143	148
CNST	506	501	820	583	958	1049	567	748
PPP1R21	436	498	615	524	567	814	430	717
KLHDC8A	0	0	0	0	1	0	0	0
PM20D1	1	3	6	1	0	1	1	2
PKDCC	571	2301	1462	1811	676	1875	810	2688
OXER1	9	6	10	0	14	9	11	0
HAAO	69	39	43	12	84	53	43	28
B3GALNT2	316	235	484	205	379	321	368	322
IL20	0	1	0	0	0	0	0	0
IL24	0	3	1	4	12	41	1	5
FAIM3	4	2	9	23	27	125	5	13
PIGR	0	1	0	0	0	0	0	0
FCAMR	0	0	0	0	0	0	0	0
CAPN2	13301	12084	12638	8141	13474	17515	11492	12360
MRPL55	277	235	341	148	250	339	279	216
C1orf145	8	12	7	2	12	3	9	4
WDR26	3389	3248	4044	2729	4766	5554	3369	3668
REL	100	61	112	37	104	99	89	80
PUS10	126	76	154	90	153	133	139	110
PEX13	338	272	394	242	412	525	255	299
KIAA1841	232	184	254	124	286	199	260	193
TRIM17	47	30	50	13	44	45	42	21
RFTN2	333	175	364	139	393	165	284	190
DISC1	106	58	101	55	104	107	42	74
AC007364.1	0	0	1	0	1	2	0	0
CAPN13	0	0	0	0	0	0	0	0
LRRTM1	0	0	0	0	0	0	0	0
MEMO1	83	59	77	37	82	94	79	62
DPY30	317	380	421	357	423	633	277	363
TYW5	171	128	213	97	230	221	157	132
C2orf47	159	140	154	95	147	195	141	120
KCNF1	8	3	5	0	12	4	6	1
PQLC3	581	659	574	468	555	763	612	825
ARL5A	572	524	596	403	620	878	535	563
FAM84A	3	4	8	3	3	20	3	3
KCNJ3	0	0	0	0	0	0	0	0
NEUROD1	0	0	1	0	0	0	0	0
CLHC1	91	56	84	73	91	86	43	42
PRORSD1P	8	10	18	14	15	10	11	15
FRZB	36	45	66	160	35	137	37	158
DUSP19	77	46	98	53	60	61	55	68
CCDC104	632	511	921	432	934	907	633	558
NUP35	79	72	73	43	103	159	65	75
CCDC138	31	14	25	12	27	25	19	13
C2orf48	0	0	0	0	0	1	0	0
ZSWIM2	2	3	5	5	6	2	2	5
FBXO41	233	159	192	115	188	288	213	176
ALMS1P	1	0	3	1	1	2	0	0
ACTG2	258	768	567	837	892	6241	405	734
C2orf44	243	210	239	152	254	302	178	212
SMC6	702	776	742	506	915	994	657	768
VSNL1	0	0	1	0	0	4	1	0
CCDC74A	234	159	260	116	250	193	163	135
H3F3A	3289	2523	3721	1985	3736	3737	2950	2579
ANKRD30BL	0	0	0	0	0	0	0	0
ADCK3	593	401	657	312	612	426	538	494
SLC16A14	59	34	64	30	92	45	75	98
EN1	2	1	1	0	1	4	1	1
ZNF2	137	94	154	97	151	175	117	97
SGCB	2484	2922	2979	2528	3431	5230	2096	3477
SPATA18	1095	773	1229	446	687	738	863	697
PCDP1	0	0	4	0	0	0	0	0
CCDC140	0	0	0	0	0	0	0	0
SGPP2	1	1	4	7	2	3	4	2
INHBB	30	286	63	301	122	2554	57	481
XIRP2	1	2	2	0	1	2	3	3
BBS5	131	127	176	82	168	156	181	91
BIRC8	0	0	0	0	0	0	0	0
SMARCAD1	835	665	883	511	962	1065	769	718
HPGDS	1	0	0	0	0	0	0	1
PDLIM5	551	1518	769	1384	674	2924	796	1924
PDHA2	0	0	0	0	0	0	0	0
STPG2	1	1	3	0	0	1	3	2
NEURL3	0	0	0	0	0	0	1	0
ANKRD23	7	3	6	0	6	10	8	6
CTSS	80	32	94	42	194	97	82	38
MSX1	25	27	95	52	67	83	76	54
PACRGL	175	138	223	131	185	226	185	172
BNIPL	0	2	4	3	5	3	5	2
C1QTNF7	136	81	224	243	183	310	174	289
TNFAIP8L2	0	2	1	0	2	1	2	0
LYSMD1	111	101	146	77	119	164	87	112
SCNM1	248	232	339	198	335	384	222	253
TMOD4	0	0	0	0	0	0	0	0
VPS72	471	408	586	304	530	640	434	416
ERCC3	941	786	1174	572	1148	1353	879	892
RNF149	682	647	727	553	824	1022	704	828
IWS1	805	764	1071	517	1391	1395	828	720
BOLA3	130	117	164	84	142	202	83	93
CDC42EP3	490	1226	1210	1966	781	2285	599	1990
S100A11	3447	3503	4983	3040	4290	5443	3408	3548
LCE3D	0	0	0	0	0	0	0	0
SMCP	1	0	1	0	1	0	1	0
IVL	0	0	0	0	0	1	0	0
SPRR3	0	0	0	0	0	0	0	0
DHX57	528	371	655	350	697	729	447	458
SPRR2D	0	0	0	0	0	0	0	0
BMP10	0	0	0	0	0	0	0	0
PGLYRP4	0	0	0	0	0	0	0	0
ARHGAP25	26	14	25	10	22	31	12	14
S100A9	0	0	0	0	0	0	0	0
S100A12	0	0	0	0	0	0	0	0
TDRD10	0	1	0	0	0	1	0	0
CCNYL1	329	332	381	286	427	579	276	370
FZD5	23	67	19	86	19	64	10	113
CRYGC	0	0	0	0	0	0	0	0
DCAF16	604	545	675	478	776	959	554	559
C1orf189	0	0	1	0	0	1	0	0
NPPC	3	0	0	0	0	0	0	0
GNPDA2	494	570	683	479	669	897	409	503
ALPP	0	2	0	0	0	0	0	0
GABRG1	0	0	0	0	0	0	0	0
ALPPL2	0	0	0	0	0	0	0	0
GABRB1	0	0	0	0	1	0	0	0
PAQR3	242	267	397	252	340	468	242	306
NIPAL1	0	2	2	0	0	7	1	4
ALPI	0	0	0	0	0	0	0	0
ANTXR2	4435	5265	6137	4795	5680	6404	4858	7783
HELQ	212	201	289	134	246	278	216	186
MRPS18C	91	95	126	64	100	146	104	89
CGGBP1	2173	2235	2200	1722	2225	2900	1798	2462
FAM175A	278	224	330	169	284	279	236	239
GPR155	202	141	344	151	265	255	192	145
DAPL1	0	0	0	0	3	1	0	0
PMVK	353	311	386	217	310	361	322	270
PBXIP1	2856	2371	3488	2024	3350	3459	2716	2731
CLDN1	3	0	5	1	11	1	2	0
PYGO2	740	612	731	376	736	775	607	573
HIPK1	1311	1173	1459	1090	1534	2134	1267	1625
LENEP	0	2	2	1	0	0	2	0
DCST2	14	12	14	11	15	9	15	19
DCST1	2	4	1	2	3	3	3	4
COL6A3	109033	77467	97628	43154	111170	95507	87649	75767
C1orf106	0	0	0	0	0	0	0	0
LINC01116	18	18	9	7	14	25	10	12
YY1AP1	714	626	848	445	878	891	652	628
KBTBD8	10	7	25	5	29	20	11	7
FAM19A4	0	1	0	0	0	1	0	0
EOGT	850	1847	1269	1802	1461	4365	1012	2197
LMOD3	3	0	1	2	0	2	0	2
APOA1BP	544	534	581	398	661	897	477	474
POGLUT1	220	237	238	202	318	320	244	280
SLC22A15	142	124	162	112	83	133	135	186
CCKAR	851	209	2436	292	507	109	4297	937
IGFN1	1	0	1	0	2	0	0	1
ATP1A1	3904	4862	4641	3581	4691	6757	3774	5085
SLC15A2	15	3	10	6	11	5	8	1
EIF4E3	345	303	379	237	176	239	326	354
PROK2	0	0	0	0	0	0	0	0
C3orf30	0	0	0	0	0	0	0	0
LRRC58	1010	957	920	729	1082	1314	959	974
FSTL1	41444	82811	69117	65582	48335	85695	49623	108544
LMOD1	2060	4465	4891	6294	3163	8704	3143	6255
ELF3	0	0	1	0	0	1	0	1
PDCL2	0	0	0	0	0	0	0	0
TMEM183A	1018	947	1094	763	1256	1533	953	1076
TMEM169	12	3	15	4	18	7	9	6
IGFBP7	419	361	1402	730	3972	4996	930	1044
TRIM46	134	147	182	78	131	184	120	124
KRTCAP2	62	50	38	31	54	58	35	36
CXCR1	0	0	0	0	0	0	0	0
ARPC2	4359	3977	5281	3079	5047	7245	3774	4081
TSACC	4	2	7	4	11	6	9	2
CCT3	3043	3113	3401	1931	3578	4694	2075	2321
TMEM79	144	90	217	92	211	245	153	149
SSR2	3285	2625	3574	1752	3656	3800	2732	2565
RNF25	289	281	346	196	354	460	261	264
STK36	755	555	983	443	916	928	651	592
ADORA1	50	9	99	24	37	32	104	19
NEK10	239	29	286	44	373	57	268	56
CCDC141	1	2	2	1	0	1	3	2
FEV	0	0	0	0	0	0	0	1
CRYBA2	0	1	0	0	0	0	0	0
IHH	0	0	0	1	0	0	0	2
KIAA1524	130	103	146	74	131	147	114	109
EOMES	0	1	1	0	2	0	1	0
CWC22	511	373	620	303	709	743	495	414
AZI2	849	694	1134	597	1240	1385	811	916
TGFBR2	5643	14034	8292	14207	10101	25269	6573	21299
RETNLB	0	0	0	0	0	0	0	0
ANKZF1	612	645	573	403	676	940	466	568
HDAC11	358	268	385	241	366	401	327	328
FCRL4	0	0	0	0	0	0	0	0
TRAT1	0	0	0	0	0	0	0	0
FBLN2	21665	16109	26748	12553	17133	19371	21712	22070
GLB1L	213	132	391	169	182	203	287	246
STT3B	3752	3147	3946	3217	3938	6336	3039	4174
CHCHD4	105	79	144	60	180	148	113	107
DPPA2	0	0	0	0	0	0	0	0
NFASC	2064	1890	3750	2266	3032	5697	3014	3641
FCRL1	0	0	0	0	0	0	0	0
SGOL2	165	146	237	103	277	208	122	142
SERPINI1	24	27	81	55	47	46	48	50
CLASP2	670	553	811	467	860	994	648	799
SUCLG1	762	740	977	452	993	1016	667	621
NUAK2	35	38	72	57	70	255	53	97
SPTA1	19	6	14	1	3	1	10	4
PRKCI	1258	1035	1760	899	1738	2030	1297	1305
MNDA	0	0	0	0	0	0	0	0
PYHIN1	0	3	0	0	5	3	0	4
IFI16	6701	4480	5967	2860	7603	4898	4788	3811
AIM2	0	0	0	0	0	1	0	0
EFHB	43	15	87	51	50	46	96	53
EIF5A2	355	352	399	448	527	830	354	552
SLC2A2	0	0	1	0	1	0	0	0
RPL22L1	286	366	260	205	470	504	278	199
FABP1	0	0	0	0	0	0	1	0
PPM1L	102	92	73	45	120	58	70	67
ICA1L	111	85	167	113	184	169	144	161
SNHG16	634	539	600	308	554	633	403	445
CTLA4	0	0	0	0	0	0	0	1
ICOS	0	0	0	0	0	0	0	0
RYBP	887	1036	1338	759	1220	1938	914	1154
PPP4R2	1068	853	1125	679	1283	1468	919	893
CD200R1	1	0	10	2	1	2	7	1
GTPBP8	312	270	378	183	284	391	276	241
C3orf17	965	797	1185	691	1001	1270	976	887
SPICE1	229	146	265	93	323	255	192	162
FAM86KP	1	4	3	2	1	5	0	1
KIAA1407	151	105	193	111	183	174	171	143
CADPS	24	19	0	1	2	3	1	0
NKX6-1	911	1035	866	568	820	1266	556	851
CDS1	4	3	25	7	12	13	9	13
WDFY3	2281	1810	2094	1536	2441	3373	2020	2868
COX18	255	192	252	164	288	310	210	200
PTPN13	2484	1619	3300	1324	3858	2970	2324	2079
SYNPR	0	0	0	0	0	0	0	0
ALB	1	1	5	0	0	1	4	5
C3orf49	1	2	4	2	6	3	3	3
C4orf36	147	111	146	69	141	80	114	97
THOC7	535	523	665	453	778	1024	548	580
ATXN7	530	514	623	399	653	943	490	634
PSMD6	954	918	1101	698	1172	1335	786	858
PRICKLE2	332	336	349	249	414	856	302	581
ADAMTS9	39	40	20	18	25	58	27	47
PPM1K	573	765	784	718	654	649	570	817
FAM194A	0	2	6	0	0	0	3	1
CLRN1	0	0	0	0	0	0	0	0
GMPS	1137	947	1236	681	1279	1499	985	969
TIPARP	350	399	379	310	365	613	263	520
CCNL1	1333	1505	1598	1308	1741	2919	1463	2279
PTX3	2228	10318	5058	9790	2082	12673	3452	20176
HESX1	15	22	17	20	21	21	20	13
DCLK3	0	0	0	1	0	0	0	0
SLMAP	969	839	1209	1216	1273	1794	989	1416
RPL9	15565	14554	14512	7638	12823	14887	9491	9290
SMIM14	2089	2991	2361	1870	2105	2395	1802	2768
ABHD6	69	99	87	65	120	175	61	101
DNASE1L3	0	0	0	0	0	0	0	0
C3orf67	45	30	53	29	73	59	40	35
RBM47	8	7	18	5	28	43	13	14
APBB2	1585	2716	1726	2262	1774	3857	1196	2975
IL17RE	38	28	35	28	31	36	30	38
IL17RC	690	769	696	449	663	851	543	727
CRELD1	435	339	1218	648	800	1191	280	298
PRRT3	190	118	220	134	232	235	183	181
FANCD2OS	0	0	0	0	0	0	0	0
PCOLCE2	488	275	1703	915	366	353	1443	1282
U2SURP	1675	1349	2063	1038	2039	2600	1610	1573
MTMR14	503	548	598	515	618	967	426	734
TTC14	1014	951	1070	622	1214	1707	892	978
CXCL3	1	2	3	5	10	11	0	2
CXCL5	2	7	7	13	25	28	3	5
PPBP	0	0	0	0	0	0	0	0
PF4	0	3	0	0	0	4	0	2
MTHFD2L	37	35	40	28	43	66	29	39
CXCL1	10	15	12	8	74	249	4	4
RCHY1	237	193	247	159	245	255	222	218
PLSCR2	2	0	0	2	0	1	0	1
CCDC158	53	32	79	38	39	42	59	30
CPA3	0	0	0	0	1	0	0	0
GYG1	985	1103	1167	859	1352	1483	885	1111
HPS3	654	469	734	326	736	732	663	514
TM4SF18	0	0	0	0	0	0	0	0
TOPBP1	721	763	764	541	842	1040	777	855
RYK	1712	1446	1865	1070	2011	2358	1489	1640
SNRK	311	338	327	276	380	523	271	411
TCF23	0	0	0	0	0	0	0	0
DNAJC5G	0	0	0	0	1	0	0	1
UCN	16	17	15	7	10	9	11	12
ZNF513	272	288	362	156	328	459	226	231
SLC4A1AP	579	472	666	392	706	792	442	507
PLB1	39	112	72	113	63	114	58	219
SPDYA	12	9	14	7	10	7	14	8
KIAA1143	1184	857	1279	792	1131	1318	1066	1141
KIF15	23	30	40	21	75	53	29	24
TGM4	0	1	0	2	1	0	2	1
WDR43	757	582	743	421	914	1133	607	597
ZDHHC3	1528	1965	2200	1739	2105	3030	1393	2313
CDCP1	193	122	240	140	78	107	122	84
CLEC3B	90	57	546	287	175	169	236	181
SLC6A20	0	0	1	1	0	0	0	0
LZTFL1	619	312	623	267	638	510	444	418
FYCO1	5250	2634	4706	2249	4641	4496	4683	4124
CCR1	15	3	31	4	8	7	16	4
RTP3	0	0	1	0	1	0	0	0
LRRC2	113	80	135	68	298	386	47	31
ELP6	295	216	367	176	325	376	244	207
FBXO40	0	0	0	0	0	0	0	0
DTX3L	1369	952	1367	843	1223	1340	969	1044
ZNF148	1198	1024	1366	818	1412	1925	1198	1276
NMNAT3	32	17	34	12	9	9	9	14
SMIM12	373	483	437	288	479	693	287	313
ZMYM6	213	168	249	162	221	286	173	175
TPRA1	601	637	656	487	623	956	573	782
YEATS2	1461	1201	1339	806	1577	2489	1187	1165
GRIK3	0	1	0	0	0	0	0	0
ZC3H12A	158	172	156	81	170	225	115	152
MEAF6	1141	1126	1115	839	1428	1407	1185	1427
SNIP1	333	380	468	328	364	594	333	435
DNALI1	367	270	448	168	410	323	351	234
POLR2H	446	416	437	209	412	606	310	327
KLF15	70	1325	52	702	36	487	34	1355
CCDC37	0	2	3	0	0	1	0	1
CAMK2N2	2	5	4	0	10	4	3	3
LIPH	0	0	7	4	2	6	4	4
TMEM41A	238	248	341	243	250	397	245	304
RPN1	3339	3301	3952	2587	3927	6053	2756	3132
SENP2	850	703	878	671	1022	1126	739	819
HEYL	1	1	0	1	3	6	1	0
IFT122	589	561	642	407	684	962	521	511
RHO	0	0	0	0	0	0	0	0
C3orf65	0	1	0	0	0	2	1	1
RFC4	155	116	133	70	135	123	94	90
RPL39L	118	108	127	61	109	142	94	119
BAP1	1515	1380	1539	904	1759	2260	1158	1336
RFT1	198	171	244	134	266	407	212	292
SFMBT1	119	88	140	75	93	98	80	88
GNL3	1107	1017	1230	616	1542	1710	987	795
PBRM1	1772	1420	1681	996	2204	2000	1619	1490
UVSSA	470	345	265	116	194	309	181	205
FAM208A	1482	1338	2093	1285	2019	2374	1684	1708
ARHGEF3	760	329	968	314	613	314	670	437
SLBP	696	721	738	526	817	1017	617	755
LRPAP1	2075	1572	2868	1329	2555	2936	2110	2071
ZDHHC19	0	0	0	0	2	0	0	0
SLC51A	56	50	107	45	85	98	59	63
UBXN7	1598	1224	1734	1130	1857	2099	1517	1658
RNF168	414	463	463	306	448	544	412	502
PIGX	168	183	196	119	191	270	169	197
MFI2	229	214	333	184	160	194	268	263
OTOP1	4	1	7	0	5	2	2	3
S100P	0	0	0	1	0	0	2	1
ABLIM2	1	1	0	0	4	40	1	2
EXO5	40	33	36	22	50	46	36	44
CLDN19	0	0	0	0	0	0	0	0
C1orf50	130	90	148	61	152	137	126	103
ERMAP	490	320	791	352	672	512	589	486
ZNF691	142	117	176	75	161	155	154	112
AIMP1	679	674	1053	557	812	1063	797	706
SGMS2	1460	2072	1731	1357	1342	2268	1058	1593
METAP1	702	600	818	506	936	1074	628	701
DNAJB14	981	1024	1173	920	1195	1762	958	1196
H2AFZ	656	607	489	421	596	758	555	469
EMCN	1	0	0	0	0	1	0	0
SLC9B1	33	20	22	10	20	15	12	20
SLC9B2	316	360	466	301	442	612	330	414
BDH2	686	430	941	428	839	679	739	547
PGRMC2	2966	2660	3464	1856	4497	4647	2497	2175
CDC25A	18	14	26	11	22	23	21	19
CAMP	0	0	0	0	0	0	0	2
ZNF589	211	136	266	92	262	219	216	133
FBXW12	0	9	1	5	2	3	2	3
PLXNB1	2542	3860	3689	3160	2757	5830	2148	4389
CCDC51	253	341	349	267	216	300	218	331
ATRIP	114	143	158	81	130	157	126	152
SHISA5	3316	3311	4138	2453	3681	4949	2945	3429
SPRY1	761	722	708	447	525	1016	790	1128
BSN	18	11	27	13	24	18	34	11
APEH	1359	1208	1355	753	1420	1928	1018	1098
INTU	377	256	515	278	515	1108	336	344
RNF123	679	561	644	372	823	1113	520	633
HSPA4L	1098	409	840	161	1007	578	667	245
MFSD8	246	228	326	165	270	353	220	267
C4orf29	147	139	166	106	190	181	141	142
CAMKV	0	0	0	0	0	1	0	0
MON1A	202	212	202	134	241	271	190	197
MST1R	25	14	17	5	2	4	7	11
TEX264	780	903	818	594	910	1298	693	839
GRM2	1	1	0	1	1	1	1	2
DUSP7	379	386	320	170	384	421	285	278
POC1A	49	40	57	28	59	49	28	36
PPM1M	713	589	732	395	716	850	602	658
ETNPPL	0	0	0	0	0	0	0	0
WDR82	2547	2205	2695	1592	2759	3190	2233	2304
PITX2	8	13	4	5	2	2	15	16
C4orf3	3190	1908	2912	954	2824	3988	2561	1243
PRSS12	6245	4242	7741	3861	9425	10382	6541	5764
NDST3	1	2	2	0	8	11	1	1
HMGB2	518	1140	843	1156	909	1703	498	1675
SAP30	265	793	370	521	419	851	329	710
SCRG1	11	34	29	43	10	23	9	36
HAND2	1	16	1	2	11	20	8	18
MAD2L1	59	66	69	40	64	74	60	57
ANXA5	21473	23177	25923	14858	32574	44709	18747	21391
TMEM155	205	464	203	131	535	1413	182	243
ADAD1	0	0	0	0	0	0	0	0
MAP9	457	466	626	423	711	772	473	451
GUCY1A3	376	360	449	185	218	139	289	157
FBXO8	370	360	427	276	441	470	293	408
CEP44	279	227	266	224	265	347	228	255
HPGD	0	0	0	0	1	0	0	0
ASB5	2	15	12	14	3	31	16	58
C4orf45	0	0	2	0	1	0	1	0
TMEM144	116	151	109	54	268	246	113	75
FAM198B	3286	7047	4463	5484	4304	9637	3154	7330
NPY1R	0	1	0	0	0	0	0	0
NPY5R	0	0	0	0	0	0	0	0
NAA15	747	784	869	525	1057	1619	649	693
IL15	137	135	145	84	199	245	72	91
FAM160A1	1	4	5	8	4	23	1	12
ARFIP1	817	675	840	519	848	935	643	598
KIAA0947	1233	1142	1211	814	1572	1910	1027	1267
HHIP	3	1	9	9	19	66	6	17
ANAPC10	87	85	105	61	112	126	89	102
ABCE1	859	933	893	565	1156	1702	757	807
OTUD4	1363	1349	1433	1306	1458	2131	1365	1824
LSM6	170	172	143	131	146	231	112	152
TMEM184C	1042	1021	1460	908	1389	2329	989	1255
PRMT10	200	160	255	142	290	292	220	184
ITGA2	1235	635	847	289	1660	742	1111	520
MOCS2	1003	717	1294	598	1524	1180	954	660
SLC45A2	1	0	1	0	1	0	0	2
EDIL3	1649	1244	2489	1515	3474	4745	3181	3053
TMEM161B	274	249	317	216	367	439	265	352
ELOVL7	0	0	3	1	2	1	0	1
NDUFAF2	282	258	317	144	382	469	241	250
ZNF474	10	24	11	15	3	21	12	16
LMBRD2	468	369	515	368	483	602	479	548
RANBP3L	0	5	3	5	12	3	2	6
NIPBL	1623	1400	1960	1091	2172	2434	1490	1736
RNF180	28	31	32	42	12	20	16	24
GPR98	2	4	2	0	1	1	2	0
SLC25A46	1699	1639	1755	1169	1787	2177	1358	1484
STARD4	401	233	362	144	318	387	260	260
PGGT1B	173	155	220	123	246	306	187	173
F2RL2	2405	1487	2830	1162	3955	3967	1680	1315
CCDC112	151	147	176	121	217	195	146	166
ANKRD33B	279	210	382	116	285	373	231	288
CMBL	944	500	805	215	922	615	594	311
C5orf63	79	66	68	35	52	96	55	62
PRRC1	1825	1397	1758	873	1945	2166	1517	1200
F2RL1	45	39	73	43	45	50	46	30
AGGF1	840	728	897	507	1035	1191	753	786
WDR41	537	499	732	381	572	777	565	513
PRDM9	0	0	0	0	0	0	0	0
NDUFS4	702	562	820	404	731	797	537	532
SCGB3A2	0	0	0	0	0	0	0	0
SPINK1	0	0	3	0	0	0	0	0
HTR4	0	1	0	0	1	0	0	0
ESM1	22	11	49	19	17	13	33	20
GRPEL2	200	188	251	114	270	237	186	154
CDC20B	1	0	0	0	1	0	0	0
ARSK	350	490	415	468	428	846	318	649
RHOBTB3	7393	12787	13274	13019	13512	37330	6943	16364
GPX8	4440	2664	4780	1849	4659	3989	4135	2810
TIGD6	125	106	181	100	192	239	110	148
SPZ1	0	0	0	0	0	0	0	0
SERINC5	150	101	153	66	168	172	143	140
ENPP6	11	10	22	7	5	4	12	7
CAGE1	0	0	1	0	0	0	1	0
CASP3	433	582	377	460	533	878	333	586
PRIMPOL	232	188	260	175	221	211	198	169
ERAP1	1248	847	1663	840	1589	1759	1187	1018
ERAP2	1218	877	127	60	1125	1090	1347	1168
CMYA5	411	261	650	319	285	465	841	795
EGFLAM	5	7	11	5	6	4	17	17
KIAA1430	1126	1060	1202	752	1417	1916	1108	1281
TMEM174	0	0	0	0	0	0	0	0
CARTPT	0	0	0	0	0	0	0	0
RICTOR	818	852	1125	694	1145	1608	815	967
PAPD4	918	776	1095	748	1086	1247	930	1020
EBF1	453	903	820	1032	684	1290	468	1306
ANKRA2	435	344	484	323	483	407	421	417
UBLCP1	726	787	696	558	821	1116	634	711
FAM170A	0	0	0	0	0	0	0	1
UTP15	161	137	167	118	200	313	138	154
TLR3	290	198	244	94	167	117	237	123
KLKB1	5	10	17	0	6	1	1	1
NSA2	1177	1092	1925	999	1608	1687	1330	1271
GFM2	308	261	445	232	502	628	260	262
TERT	0	0	0	0	0	0	0	0
SLC6A18	0	0	0	0	0	0	0	0
CCDC127	812	716	983	702	1031	1371	890	960
FOXQ1	155	132	167	59	258	182	160	69
C6orf195	5	1	0	1	3	5	5	4
GPR111	0	0	0	0	0	0	0	0
ACSL6	10	11	9	4	3	9	11	12
IL3	0	0	0	0	0	0	0	0
CSF2	0	1	2	0	0	2	2	0
SEPT8	2425	1642	2514	1081	2635	2454	1990	1658
SHROOM1	274	237	283	169	332	341	228	221
GDF9	1	3	9	9	4	3	2	4
UQCRQ	698	630	747	424	740	950	507	450
LEAP2	9	7	14	4	21	19	9	19
GJB7	2	0	0	0	0	0	0	0
SLC35A1	138	119	185	103	147	174	173	170
